checking_status,duration,savings_status,employment,installment_commitment,age,credit_amount_log,monthly_burden,financial_stress_score,high_risk_interaction,target,credit_history_critical/other existing credit,credit_history_delayed previously,credit_history_existing paid,credit_history_no credits/all paid,personal_status_male div/sep,personal_status_male mar/wid,personal_status_male single,other_parties_guarantor,other_parties_none,property_magnitude_life insurance,property_magnitude_no known property,property_magnitude_real estate,other_payment_plans_none,other_payment_plans_stores,housing_own,housing_rent,foreign_worker_yes,purpose_risk_low_risk
3,6,4,0,4,67,7.064759027791802,194.83333333333334,3,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
2,48,3,2,2,22,8.691482576512929,123.97916666666667,5,0,1,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
0,12,3,1,2,49,7.64826303090192,174.66666666666666,3,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
3,42,3,1,2,45,8.972463821059907,187.66666666666666,6,0,0,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
3,24,3,2,3,53,8.491054533806542,202.91666666666666,6,0,1,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,36,4,2,2,35,9.111182800442965,251.52777777777777,0,0,0,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,24,1,0,3,53,7.950149887652018,118.125,1,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
2,36,3,2,2,35,8.846353043314327,193.0,5,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True
0,12,0,1,2,61,8.026170194946426,254.91666666666666,0,0,0,False,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False
2,30,3,4,4,28,8.563122123304638,174.46666666666667,5,0,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False
2,12,3,3,3,25,7.16703787691222,107.91666666666667,5,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
3,48,3,3,3,24,8.368461137615839,89.75,6,0,1,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False
2,12,3,2,1,22,7.357556200910353,130.58333333333334,5,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,24,3,0,4,60,7.090076835776092,49.958333333333336,6,0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
